slicing n       topn
N       10      24.72
N       20      25.84
N       30      28.09
N       40      32.58
N       50      35.96
N       60      46.07
N       70      79.78
N       80      79.78
N       90      83.15
N       100     84.27
Y       10      31.46
Y       20      37.08
Y       30      51.69
Y       40      57.3
Y       50      65.17
Y       60      77.53
Y       70      80.9
Y       80      82.02
Y       90      87.64
Y       100     91.01
