slicing  n   topn
N       10  23.08
N       20  38.46
N       30  46.15
N       40  46.15
N       50  46.15
N       60  46.15
N       70  46.15
N       80  46.15
N       90  46.15
N      100  46.15
Y       10  30.77
Y       20  46.15
Y       30  46.15
Y       40  46.15
Y       50  46.15
Y       60  46.15
Y       70  46.15
Y       80  46.15
Y       90  46.15
Y      100  46.15
