slicing n       topn
N       10      34.78
N       20      58.7
N       30      63.04
N       40      63.04
N       50      63.04
N       60      63.04
N       70      63.04
N       80      63.04
N       90      71.74
N       100     71.74
Y       10      50.0
Y       20      63.04
Y       30      63.04
Y       40      63.04
Y       50      63.04
Y       60      67.39
Y       70      71.74
Y       80      71.74
Y       90      71.74
Y       100     71.74
