slicing  n   topn
N       10  25.86
N       20  36.21
N       30  36.21
N       40  36.21
N       50  60.34
N       60  75.86
N       70  75.86
N       80  79.31
N       90  79.31
N      100  79.31
Y       10  51.72
Y       20  63.79
Y       30  65.52
Y       40  86.21
Y       50  98.28
Y       60  98.28
Y       70  98.28
Y       80  98.28
Y       90  98.28
Y      100  98.28
