slicing  n   topn
N       10  33.71
N       20  41.57
N       30  49.44
N       40  52.81
N       50  60.67
N       60  84.27
N       70  94.38
N       80  95.51
N       90  96.63
N      100  98.88
Y       10  46.07
Y       20  58.43
Y       30  66.29
Y       40  67.42
Y       50  74.16
Y       60  93.26
Y       70  97.75
Y       80  98.88
Y       90 100
Y      100 100
