slicing  n   topn
N       10  30.77
N       20  46.15
N       30  46.15
N       40  46.15
N       50  46.15
N       60  46.15
N       70  53.85
N       80  53.85
N       90  53.85
N      100  53.85
Y       10  53.85
Y       20  53.85
Y       30  53.85
Y       40  53.85
Y       50  53.85
Y       60  53.85
Y       70  53.85
Y       80  53.85
Y       90  53.85
Y      100  53.85
