slicing n       topn
N       10      18.97
N       20      24.14
N       30      31.03
N       40      31.03
N       50      32.76
N       60      72.41
N       70      72.41
N       80      75.86
N       90      79.31
N       100     79.31
Y       10      43.1
Y       20      46.55
Y       30      60.34
Y       40      81.03
Y       50      94.83
Y       60      96.55
Y       70      96.55
Y       80      96.55
Y       90      96.55
Y       100     98.28
