slicing n       topn
N       10      44.32
N       20      47.73
N       30      57.95
N       40      61.36
N       50      61.36
N       60      63.64
N       70      65.91
N       80      70.45
N       90      76.14
N       100     77.27
Y       10      45.45
Y       20      47.73
Y       30      60.23
Y       40      60.23
Y       50      61.36
Y       60      62.5
Y       70      67.05
Y       80      76.14
Y       90      79.55
Y       100     80.68
