slicing  n   topn
N       10  50.0
N       20  54.17
N       30  62.5
N       40  66.67
N       50  70.83
N       60  75.0
N       70  79.17
N       80  79.17
N       90  79.17
N      100  79.17
Y       10  54.17
Y       20  70.83
Y       30  79.17
Y       40  83.33
Y       50  83.33
Y       60  87.5
Y       70  87.5
Y       80  87.5
Y       90  91.67
Y      100  91.67
