slicing  n   topn
N       10  72.09
N       20  74.42
N       30  77.91
N       40  80.23
N       50  83.72
N       60  83.72
N       70  84.88
N       80  84.88
N       90  86.05
N      100  86.05
Y       10  73.26
Y       20  77.91
Y       30  82.56
Y       40  87.21
Y       50  87.21
Y       60  88.37
Y       70  91.86
Y       80  94.19
Y       90  95.35
Y      100  95.35
