slicing  n   topn
N       10  43.48
N       20  63.04
N       30  65.22
N       40  69.57
N       50  71.74
N       60  71.74
N       70  73.91
N       80  73.91
N       90  73.91
N      100  73.91
Y       10  65.22
Y       20  69.57
Y       30  73.91
Y       40  73.91
Y       50  73.91
Y       60  73.91
Y       70  73.91
Y       80  73.91
Y       90  73.91
Y      100  73.91
