slicing  n   topn
N       10  25.0
N       20  27.27
N       30  29.55
N       40  38.64
N       50  43.18
N       60  56.82
N       70  63.64
N       80  63.64
N       90  68.18
N      100  70.45
Y       10  36.36
Y       20  50.0
Y       30  56.82
Y       40  59.09
Y       50  63.64
Y       60  65.91
Y       70  65.91
Y       80  68.18
Y       90  75.0
Y      100  81.82
