slicing  n   topn
N       10  16.67
N       20  29.17
N       30  33.33
N       40  37.5
N       50  37.5
N       60  41.67
N       70  45.83
N       80  54.17
N       90  58.33
N      100  62.5
Y       10  20.83
Y       20  29.17
Y       30  41.67
Y       40  41.67
Y       50  41.67
Y       60  45.83
Y       70  58.33
Y       80  66.67
Y       90  70.83
Y      100  75.0
