slicing  n   topn
N       10  36.36
N       20  45.45
N       30  59.09
N       40  63.64
N       50  70.45
N       60  79.55
N       70  88.64
N       80  90.91
N       90  93.18
N      100  97.73
Y       10  56.82
Y       20  81.82
Y       30  93.18
Y       40  93.18
Y       50  95.45
Y       60  95.45
Y       70  95.45
Y       80  97.73
Y       90 100
Y      100 100
